track_id,rows,genres
03PjRjDn7JNYY2P57QX8Q5,2,2
03QuZlIrO7RGx12G7T8enl,2,2
03QwdCYh1MoMsmyJAUkoE1,2,2
03UOeGWSA5tOf1PyG7kf6O,3,3
03Uo2utHEdsOoEKwPs4w0G,4,4
03YuyrltrfOOtysn0HBvax,2,2
03aiQ6cX3yeHwiIA8rvDLu,3,3
03b9EWz24mTfDvnrE8G41I,2,2
03cAFCWyzUOFus6Os8EoQG,3,3
03eJrJinZp8ofxM3nQQs9F,2,2
03lCRQ1TTMa4v2DwP3rLU4,2,2
03mHinvLdrdSTd7w4GPXwH,3,3
03pgAGtsNrSoZtXDUR1Rom,3,3
03pixFplMU4GlGanyGESCJ,2,2
03r29RsAupsanSGQJwr63j,4,4
03rdAFKPMOjSOXTcoZSajT,2,2
03tp1TUFVJRt1HuWGlpRy8,2,2
03um6hfYLzq0p4c3Lk0Dld,3,3
03wFD2CKnZgnQbqgPfO4fF,2,2
03x2rVJRFUrvwlfxoHd9Mo,2,2
040CvqW0wo3b77EBRfgC14,2,1
040wa7JKXeVWLjkVYHxtQe,2,2
041YXYyuWu7L4NykzFagcP,2,2
04B5IZrty8x9dPrP3eEL05,3,3
04BwBjVvvHshN9RbqNXfWQ,2,2
04EtBLFIxbcVt9NdYgcrpF,3,3
04F42oEuKrRComYJfJuyVR,2,2
04GunTYlMUoEnc5pwzQANm,5,5
04ILxTQAP9e9Ng4IvdNs6m,2,2
04IUJPcxiUuXih8eJIVzGz,3,3
04JS6OitE9VGsIS3S94Osg,2,2
04KeHjz5E58E3CLOhIqWnr,2,2
04LL918sfjXolHQB8evxCV,2,2
04Rwlix3S6i0JeprqsC8Cx,3,2
04SZq5X98v2Gsf1NUX7OFH,2,2
04TshWXkhV1qkqHzf31Hn6,2,2
04TwPJDhekbMYYKU5eiOsH,2,1
04U5eAyK9aRbmmJV3kaAVx,2,2
04V3hO138BCddFy9TmTUic,3,3
04VFfRka9MBc5qlRcDuV8T,2,2
04aAxqtGp5pv12UXAg4pkq,2,2
04amRUbvDaUMmE9U4Vs48E,2,2
04aulIHjjQyDVUUmaFDy8w,2,2
04bNiW1CiMHWM0kSDvbLzp,3,3
04ena8ko8DnRyusS5vDjie,3,3
04fYoQSUTfPhVjyW8aXkix,2,2
04ht5irz2s6Q3vuWXkAOTU,2,2
04iTE6hn0yvbWHJXkIfLyy,2,1
04ize5IEH2inSkQkqFGLd8,2,2
04jV9kpwWbr4HHfxfK4sSu,2,2
04k52ODidrrrzc8Jz4JbLg,2,2
04kUx3ZqhMfJPF0bLJw1FO,2,2
04lYv7Y2Vd8ns6LCshS8EB,2,2
04oTyEbJ190RfXWSlTP4b7,2,2
04qJc4IUXV3EEjgOb3qYeo,2,2
04qx1yENXdu9yN6zzRiVfP,2,2
04rQMy0kPLdMyIeK5oyg1g,2,2
04wmRKlU8lSjmYql1mt052,2,2
052z2UsE2wPrHsBJ9tly0g,3,3
053mlrYW02zC0dUsIsRUKG,4,4
058beKosGKglMtEQ3sZwq6,2,2
059sONalAfYqzIICi4Ti6R,2,2
05CrXeNWBptDD2zLAOaf2A,2,1
05ET8TiuscvijP4b4b1Jg9,2,2
05InvhuB0FVJ6EFqEyIqIW,3,3
05K51VGmcBMeKzCB88aIOV,2,2
05K9S4Tbxaj7mKiZyHtjFl,2,2
05Ke9LELmOiA5i3L0ybFUy,2,2
05NYcsjJwOYq4jIiKPVj9p,4,4
05Q2QXgj7NPOmYvito5OOm,3,3
05QEiRtbs57De7NxgUNOHp,2,2
05REArTDZQd59A9Y4XC0Aq,2,2
05RgAMGypEvqhNs5hPCbMS,2,2
05SBRd4fXgn8FX7bf8BCAE,3,3
05UkW0aWSlpxcOlT3NtJ1N,2,2
05WA2W5m8omNt4EZ51MZf3,2,2
05WLq8RH59gRD3gMnmxUKb,2,1
05ZUxHiGT7VR6ShJjhwJxn,2,2
05bfbizlM5AX6Mf1RRyMho,2,2
05dayqMNAmaZU7gTUdV0eM,2,2
05eNEozACh10Rn0ewFnH8Y,2,2
05eV1d7xEeUse9ceyKWjMe,2,2
05eZlxyjbkHMPCnunUasCS,2,2
05fHQeRbCSjKVS6z0WbQKJ,2,2
05fL1P3yj5DLIE9mF7pf1z,6,6
05iC65udZLZV1kJVRLJHGC,2,2
05lem7bHWxyo98HOwPmils,2,2
05tQHifEgbVLavnO3GcuxN,3,3
05uEelCxZhQjzYNgAntl45,3,3
05xYoVj6QuFk0U7PVl5Tf2,2,2
05y79YGqS94EQe0v29lHIo,3,3
05ztmc9JMq8pYE2GyY72Zd,2,2
062WEhWJ0tNa0CaAEuMwYB,2,2
068nLVWBWYFYk7qFzDWVvr,2,2
06C6QABI5ChBAsw95J9oTo,5,5
06E5KyqnDTueEbdT22FFvM,2,2
06I2PKNDtP6ypDXAMqCARp,2,2
06JLkin2vf8YBGMFKik9Y7,2,2
06KyNuuMOX1ROXRhj787tj,2,2
