feature,mean,variance,scale
danceability,0.5631515879128852,0.030719602827675108,0.17527008537589953
energy,0.635354987340232,0.06539305822204758,0.25572066444080654
valence,0.4702972219171048,0.06883061337533816,0.2623558906816048
acousticness,0.32798975002589775,0.11431923537149889,0.33811127661096857
instrumentalness,0.17257926992688344,0.10440142647300586,0.3231120958320902
speechiness,0.08759558175100186,0.012840754339676692,0.113317052289921
tempo,122.2720490048335,882.4966533865227,29.70684522776733
loudness,-8.475170255517229,26.824208698986006,5.1792092735268005
